Id,Name,Institution,Origin,Coordinates,Material,Number of folios,Height mm,Width mm,Area mm^2,Total Lines (#Folios x Columns per Page x Lines per Column x 2),Leaves per gathering,Lines per column,Number of illustrations,Date start,Date end,Date Delta,Columns per folio,Texts,Folios with 1 illustration,Folios with More than 1 illustration
Francais1571,Francais 1571,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,147,255,190,48450,19992,,34,0,1300,1400,100,2,1,,
Francais1572,Francais 1572,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,149,284,200,56800,22052,,37,1,1400,1500,100,2,2,0,1
Francais1573,Francais 1573,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,182,253,268,67804,21840,,30,0,1200,1300,100,2,1,,
Francais1574,Francais 1574,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,159,,,0,0,,,0,1300,1400,100,,1,,
Francais1575,Francais 1575,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,170,255,177,45135,21760,,32,29,1300,1300,0,2,1,,
Francais1576,Francais 1576,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,109,261,180,46980,21800,,50,27,1300,1350,50,2,1,,
Francais1665,Francais 1665,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,161,270,210,56700,23184,,36,3,1300,1300,0,2,1,0,2
Francais19137,Francais 19137,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,127,305,228,69540,22352,,44,1,1400,1500,100,2,3,,
Francais19153,Francais 19153,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,150,345,255,87975,22800,,38,32,1400,1500,100,2,1,,
Francais19154,Francais 19154,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,141,272,200,54400,21432,,38,1,1300,1400,100,2,1,,
Francais19155,Francais 19155,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,146,276,206,56856,22192,,38,0,1400,1500,100,2,1,,
Francais19156,Francais 19156,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,140,289,213,61557,22400,,40,28,1300,1350,50,2,1,,
Francais19157,Francais 19157,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,124,264,180,47520,20832,,42,23,1330,1370,40,2,1,,
Francais2194,Francais 2194,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,120,242,156,37752,21120,,44,0,1300,1400,100,2,1,,
Francais2195,Francais 2195,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,147,200,140,28000,23520,,40,0,1361,1361,0,2,3,,
Francais2196,Francais 2196,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,137,228,160,36480,21920,,40,0,1300,1350,50,2,1,,
Francais22551,Francais 22551,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,97,,,0,0,,,1,1300,1400,100,,1,,
Francais24388,Francais 24388,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,146,292,201,58692,23360,,40,44,1300,1400,100,2,2,,
Francais24389,Francais 24389,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,140,317,218,69106,22400,,40,21,1330,1370,40,2,1,,
Francais24390,Francais 24390,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,140,302,227,68554,22400,,40,16,1330,1370,40,2,3,,
Francais24391,Francais 24391,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,139,270,193,52110,22240,,40,1,1300,1400,100,2,2,0,1
Francais24392,Francais 24392,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,175,330,236,77880,26600,,38,117,1400,1500,100,2,4,,
Francais24436,Francais 24436,Bibliotheque nationale de France (BnF),Liege,"48.833584, 2.37576599999999",paper,,260,205,53300,0,,,,1300,1500,200,,1,,
Francais25523,Francais 25523,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,177,240,180,43200,21240,,30,38,1320,1340,20,2,1,,
Francais25524,Francais 25524,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,109,180,133,23940,6976,,32,0,1300,1350,50,1,1,,
Francais25525,Francais 25525,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",paper,421,202,147,29694,19366,,23,0,1402,1402,0,1,1,,
Francais25526,Francais 25526,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,163,254,185,46990,22820,,35,51,1340,1360,20,2,1,,
Francais378,Francais 378,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,32,365,272,99280,11520,,60,28,1200,1300,100,3,12,18,9
Francais380,Francais 380,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,139,374,280,104720,22796,,41,47,1400,1500,100,2,4,44,3
Francais3939,Francais 3939,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",paper,1,,,0,0,,,0,1500,1600,100,1,3,,
Francais797,Francais 797,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,134,322,246,79212,21440,,40,1,1400,1500,100,2,1,1,0
Francais798,Francais 798,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,138,304,240,72960,20424,,37,49,1400,1500,100,2,1,,
Francais799,Francais 799,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,122,321,235,75435,19520,,40,1,1300,1400,100,2,1,1,0
Francais800,Francais 800,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,115,340,255,86700,22080,,48,1,1400,1500,100,2,1,1,0
Francais801,Francais 801,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,128,350,248,86800,22016,,43,31,1400,1500,100,2,1,14,8
Francais802,Francais 802,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,143,321,223,71583,22308,8,39,35,1300,1400,100,2,2,31,2
Francais803,Francais 803,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,154,308,220,67760,23408,,38,1,1300,1400,100,2,1,1,0
Francais804,Francais 804,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,152,330,255,84150,29184,,48,1,1400,1500,100,2,5,1,0
Francais805,Francais 805,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,145,350,263,92050,22620,,39,19,1400,1500,100,2,1,15,2
Francais806,Francais 806,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,139,320,235,75200,20572,,37,0,1400,1500,100,2,4,,
Francais807,Francais 807,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,129,314,254,79756,19608,,38,0,1300,1400,100,2,1,,
Francais812,Francais 812,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,145,304,254,77216,22040,,38,1,1400,1500,100,2,5,3,1
Francais814,Francais 814,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,132,312,235,73320,22704,,43,0,1375,1425,50,2,1,,
Francais9345,Francais 9345,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,61,376,260,97760,22692,,62,83,1300,1300,0,3,4,40,18
Grenoble608,Grenoble 608 Res,"Bibliotheque Municipale (BM), Grenoble",France,"45.185331, 5.731042",parchment,148,,,0,8288,,28,88,1500,1600,100,1,1,,
Ham577,Ham. 577,Staatsbibliothek zu Berlin,France,"52.51752, 13.3909899999999",Parchment,173,,,0,22144,,32,13,1300,1350,50,2,2,,
Hunter409,Hunter 409,University of Glasgow Library,England,"55.873422, -4.28907000000003",parchment,,,,0,0,,,,1400,1500,100,,1,,
LatQu65,Lat. qu. 65,Stadt- und Universitatsbibliothek,France,"50.120331, 8.65294300000005",Parchment,160,25,17,425,21760,8,34,14,1300,1350,50,2,1,,
LudwigXV7,Ludwig XV7,J. Paul Getty Museum,"Paris, France","34.078036, -118.474095",parchment,135,370,260,96200,23760,8,44,101,1400,1500,100,2,1,79,10
Lyon763,Lyon 763,"Bibliotheque Municipale (BM), Lyon",France,"45.760674, 4.85752500000001",parchment,134,291,205,59655,21440,,40,22,1340,1360,20,2,1,,
Lyon764,Lyon 764,"Bibliotheque Municipale (BM), Lyon",France,"45.760674, 4.85752500000001",parchment,123,273,200,54600,22632,,46,0,1340,1360,20,2,3,,
Lyon23,Lyon PA 23,"Bibliotheque Municipale (BM), Lyon",France,"45.760674, 4.85752500000001",parchment,146,292,206,60152,22192,,38,16,1300,1400,100,2,1,,
Lyon24,Lyon PA 24,"Bibliotheque Municipale (BM), Lyon",France,"45.760674, 4.85752500000001",parchment,131,258,192,49536,15720,,30,4,1300,1400,100,2,1,,
Lyon25,Lyon PA 25,"Bibliotheque Municipale (BM), Lyon",France,"45.760674, 4.85752500000001",paper,156,272,193,52496,19968,,32,73,1400,1500,100,2,1,,
Marne3,Marne 3,Archives departementales de la Marne et de la Province de Champagne,France,"48.9533108, 4.3671534",parchment,8,,,0,1184,,37,0,1400,1500,100,2,1,,
Marseille1107,Marseille 1107,"Bibliotheque Municipale (BM), Marseille",France,"43.2491291, 5.39055210000003",parchment,172,278,220,61160,22016,,32,0,1370,1400,30,2,1,,
MontpellierH245,Montpellier H 245,Bibliotheque Interuniversitaire de Montpellier (BIUM),France,"43.604714, 3.89867879999997",parchment,129,305,216,65880,21672,,42,40,1350,1375,25,2,2,,
MontpellierH246,Montpellier H 246,Bibliotheque Interuniversitaire de Montpellier (BIUM),France,"43.604714, 3.89867879999997",parchment,153,275,195,53625,23256,,38,75,1325,1350,25,2,1,,
MontpellierH438,Montpellier H 438,Bibliotheque Interuniversitaire de Montpellier (BIUM),France,"43.604714, 3.89867879999997",parchment,153,202,138,27876,29376,,48,0,1320,1340,20,2,2,,
Morgan948,Morgan 948,Morgan Library & Museum,France,"40.749226, -73.981397",parchment,203,260,180,46800,26796,8,33,107,1500,1600,100,2,1,107,0
NAF11387,NAF 11387,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,126,,,0,19152,,38,0,1300,1400,100,2,1,,
NAF20001,NAF 20001,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,,,,0,0,,,,1300,1400,100,,1,,
NAF28047,NAF 28047,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,154,280,200,56000,19096,,31,1,1300,1400,100,2,1,1,0
NAF5094,NAF 5094,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",,42,,,0,0,,,1,1300,1400,100,,1,,
NAF9252,NAF 9252,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,40,388,265,102820,8000,,50,123,1300,1400,100,2,1,,
NAF934,NAF 934,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,,,,0,0,,,,,,0,,1,,
NAL718,NAL 718,Bibliotheque nationale de France (BnF),France,"48.833584, 2.37576599999999",parchment,2,,,0,320,,40,0,1300,1400,100,2,3,,
